Symbol,Average Return,Average Volatility,Sharpe Ratio,Price,Forward PE,Dividend Yield,Beta,Target Price
ALLE,0.14369661142180942,0.26334595510856307,0.4270753708034171,122.93,21.604568,0.0159,1.0,111.92
LNT,0.13298825966175404,0.20717718086078116,0.49117484485849344,53.34,19.467154,0.0336,0.518054,57.63
ALL,0.1537419234468819,0.2269165609588835,0.5399071929123814,131.33,10.582595,0.0277,0.647752,140.8
GOOGL,0.20656560602163127,0.2724519990678607,0.6435539714418443,104.78,1.1019034,0.0,1.099484,132.22
GOOG,0.20758960890456968,0.27298413438448793,0.6460506186851548,105.22,1.1119096,0.0,1.099484,132.15
MO,0.10549416757157468,0.2209279694552924,0.3361553892901893,46.91,9.672165,0.082200006,0.644804,48.83
AMZN,0.2605866458704279,0.32805123777062173,0.6991548254317486,103.39,1.457018,0.0,1.0,167.22
AMCR,0.0951802435413395,0.2570549781076549,0.24878803755481615,12.03,17.691175,0.0418,0.84593,12.57
AMD,0.5181034188124856,0.5846932200194617,0.8327022824072425,86.09,31.767527,0.0,2.0549,98.52
AEE,0.14932741718772866,0.21580249901417403,0.5472567636287289,85.3,21.166252,0.0294,0.425939,92.31
AAL,0.14700868218058277,0.5054850981684251,0.22904857651761165,17.02,-94.55556,0.0,1.450626,16.18
AEP,0.12550594773323007,0.2027060902427275,0.4650965722149666,92.11,18.495983,0.0381,0.412306,98.06
AXP,0.16634458637338403,0.30117937030494313,0.44862483855497526,178.86,19.654943,0.014199999,1.135961,168.38
AIG,0.11180501889421007,0.318684905088014,0.2528421572955161,58.75,11.67992,0.0234,1.159174,64.75
AMT,0.15373247855388725,0.24294292453066363,0.504251929939146,222.06,40.01081,0.0299,1.0,262.33
AWK,0.18380828672510757,0.2209672669104522,0.6905106302133948,156.61,33.971798,0.0184,0.49521,155.58
AMP,0.2455218359861451,0.33409525908722265,0.6414152555692487,354.1,15.709848,0.0167,1.422991,322.73
ABC,0.1707643745975314,0.2614290132905491,0.5337446400725714,156.73,17.03587,0.0117999995,0.497052,174.17
AME,0.16119476199671226,0.23855715066943098,0.5448032961399993,146.38,30.495832,0.0070999996,1.220338,145.06
AMGN,0.1572997720801572,0.2526342720092986,0.499028619843301,245.17,13.812394,0.0298,0.575165,254.85
APH,0.19154400223380383,0.23507552590333455,0.6819764057679385,81.62,32.51793,0.0114,1.240235,84.32
ADI,0.20413584519470565,0.2994871665685233,0.5773462922689349,178.82,26.61012,0.0216,1.144067,187.91
ANSS,0.1728529561062583,0.2887088726234332,0.4905457696021062,275.23,35.837242,0.0,1.29882,289.41
AON,0.20797895947650907,0.22370045406905079,0.7901232038970767,313.64,25.29355,0.008,0.878039,303.08
APA,0.11470764870378786,0.5659183875525818,0.14751174470681358,42.04,25.325302,0.0221,3.687177,53.81
AAPL,0.2807734382755522,0.2875880844568355,0.8677181419133762,154.5,29.096046,0.006,1.249815,183.59
AMAT,0.30774869258063814,0.3828896442079397,0.7221941276537255,119.98,17.988007,0.0119,1.512159,109.32
APTV,0.2116524306832598,0.3782505763031648,0.4769970014385684,115.73,23.0998,0.0,1.991893,121.91
ACGL,0.1675589752413255,0.2507886305000615,0.5436089147073684,61.26,15.953125,0.0,1.0,0.0
ANET,0.35637614403244283,0.43577947626493924,0.7461299160415805,131.96,11.729778,0.0,1.294399,142.34
AJG,0.20866127078136917,0.20926752258427825,0.8478775330064497,193.49,37.138195,0.0115,1.0,198.69
AIZ,0.17598323340301325,0.25605333968937566,0.5653321826787316,133.63,11.238856,0.020599999,0.571112,184.33
T,0.06445273381956548,0.2124574657979608,0.15638280208482358,19.83,6.2555203,0.0616,0.653647,20.15
ATO,0.16118002473810034,0.2136961658851389,0.6081156590039587,117.19,21.66174,0.025999999,0.547162,117.0
ADSK,0.24081470980779635,0.36099566973087244,0.5805794567281277,223.66,32.55604,0.0,1.481208,252.0
AZO,0.2194274280564196,0.2509476045510756,0.7499549095073166,2398.51,27.581762,0.0,0.731392,2395.79
AVB,0.0918277650603419,0.23907737119468134,0.2534732783921887,180.25,56.8612,0.0369,0.944362,220.55
AVY,0.20811766112066918,0.26671035807765436,0.6632274141933657,181.2,19.89023,0.0178,0.989683,197.55
BKR,0.09713266726118903,0.39455267411566225,0.1670363213597925,31.37,25.92562,0.0272,1.421886,32.87
BALL,0.12981686558101962,0.2603521759357762,0.3786748669659659,58.97,0.0,0.0167,0.677597,58.5
BAC,0.17324220314843572,0.30656834128004284,0.46323818878763273,36.43,11.713827,0.024500001,1.356669,40.96
BBWI,0.1811349108098802,0.4861392686296353,0.30836198696354805,46.85,11.289156,0.0239,1.727339,0.0
BAX,0.06292106182502795,0.22884859522715215,0.13848903813165234,46.68,11.583126,0.0215,0.600957,65.2
BDX,0.14275160237666668,0.2135888588998722,0.5221412903128422,245.84,18.387434,0.0150999995,0.625644,277.82
WRB,0.18083830874020285,0.2268752253590271,0.6594385460519399,66.87,14.92634,0.0057,0.592851,79.36
BRK.B,0.0,0.0,-inf,0.0,0.0,0.0,1.0,0.0
