Symbol,Average Return,Average Volatility,Sharpe Ratio,Price,Forward PE,Dividend Yield,Beta,Target Price,low_risk,high_return
BR,0.2318024932077589,0.2295649443261855,0.8737155134998563,153.5800018310547,24.5728,0.02,0.95689,173.2,0.09104632272360438,0.3944724299133051
MTD,0.23449746075081648,0.26271605253485303,0.7737228798746894,1591.6500244140625,48.290356,0.0,1.142225,1330.73,0.0,0.3903574200506055
UNH,0.25720883932761357,0.2537932347493124,0.8904130149749233,472.0199890136719,22.087973,0.012200001,0.745762,594.64,0.06445840797005868,0.39031792405669696
DHI,0.21764943705348944,0.35742473921162426,0.5215682536985027,99.47000122070312,8.516267,0.012,1.535372,91.47,0.021866688626258565,0.3901600372851206
IT,0.2278335972492795,0.28530094983910986,0.6891163782171483,341.95001220703125,60.629436,0.0,1.347826,325.01,0.0,0.3898214019685877
ADSK,0.23982190332662182,0.3609375839216121,0.5779222575437977,223.66000366210938,32.55604,0.0,1.481208,252.0,0.0,0.3897594564670044
STZ,0.24869030733952874,0.28126175263706377,0.7731668643404181,230.82000732421875,19.644257,0.0134000005,0.98305,274.77,0.04846391880331837,0.38746461915947283
TT,0.22351340155102264,0.2585788216032789,0.7436237831255728,186.3000030517578,26.690544,0.0174,1.193809,0.0,0.05636654917944873,0.38735564790830534
OTIS,0.2700966633040876,0.295515243600232,0.8083123577644786,84.7300033569336,25.675758,0.0173,0.823644,77.62,0.07107660509837047,0.38686465191371766
FSLR,0.29881011778004746,0.5015361078386681,0.5335250515440102,168.19000244140625,51.434254,0.0,1.26787,140.07,0.0,0.3867855284345717
INTU,0.24412684413202262,0.300744715388826,0.707905387007485,423.760009765625,43.240818,0.0074,1.182756,520.48,0.020803602888372772,0.3865453588694003
VLO,0.22911439710611725,0.398144331599033,0.4970216612581759,131.72999572753906,23.90744,0.0309,1.629697,137.13,0.047622377826173054,0.3852968274557782
TMO,0.23950749756114517,0.2434113421977531,0.8556686622996156,587.760009765625,29.881037,0.0023999999,0.859248,625.33,0.011474978554581738,0.3835054893778171
DHR,0.2551890723295925,0.2770743594480773,0.8083065960396892,269.8500061035156,29.719164,0.004,0.865512,307.74,0.016679789282761124,0.38253671977379194
LOW,0.22944139780313474,0.2839533187548447,0.6980490972180725,215.97000122070312,19.386894,0.0217,1.168017,240.6,0.06542799639938518,0.38144846601229143
CSX,0.20523232074801478,0.2828220857983522,0.6152429017790263,32.27000045776367,6.506048,0.0139,1.242446,32.73,0.03955705554917074,0.3806499685272098
AJG,0.20905311506025834,0.20922961106049934,0.8499039603653419,193.49000549316406,37.138195,0.0115,1.0,198.69,0.054963539537789145,0.37989264094543973
DVN,0.1564881822977391,0.5097861917873815,0.24571113208131382,60.849998474121094,23.225191,0.081,2.434045,80.65,0.06527822665973301,0.37940215686477463
CRL,0.22872528019355134,0.31201712728833614,0.6329692280539575,250.35000610351562,23.507044,0.0,1.292188,270.17,0.0,0.3786833737513042
ALB,0.24271839033725243,0.38685231855495805,0.5466953154966481,287.2300109863281,58.026268,0.0056,1.442151,306.17,0.010037650904895421,0.3783600731247514
MA,0.24031371066572307,0.2740731559542972,0.7628827053253954,373.9100036621094,35.815136,0.0061000003,1.0,402.69,0.022256832409435965,0.37831762760119503
MAR,0.20854212997667404,0.3200782502964696,0.5539710674442848,174.42999267578125,37.837307,0.0077,1.568165,171.42,0.015340616187067621,0.37716756691874453
MS,0.21887275935017117,0.31169761598488177,0.6020088371963443,99.43000030517578,14.347764,0.038399998,1.33235,0.0,0.0924654302660818,0.3770126013735686
MPC,0.2265089829262806,0.408880598146043,0.47759894653228524,118.19999694824219,41.041664,0.020499999,1.602063,126.07,0.031295201068072806,0.37385367753292553
DXC,0.18116435064215072,0.47104015927510184,0.31830897577534045,28.889999389648438,8.398255,0.0,1.943625,33.99,0.0,0.37242094145850824
SWKS,0.2408872969876676,0.3855883808251148,0.5437385238237238,112.4800033569336,10.376384,0.0296,1.217391,125.88,0.06305763607510391,0.37020499051548805
ULTA,0.24195978545484498,0.38827617220097055,0.5427367439677216,520.760009765625,43.073616,0.0,1.354458,483.54,0.0,0.3696162551299659
NUE,0.21644230814611706,0.33438090869935255,0.5539020420523065,176.6300048828125,36.4938,0.0148,1.450994,123.05,0.030503847785785423,0.36958134545268173
TTWO,0.2779435770167637,0.35228012907934425,0.7003390672851605,109.27999877929688,17.973684,0.0,0.782977,161.11,0.0,0.3684646813051197
TXN,0.22886493523679433,0.27326210086381164,0.7232502956604757,182.2899932861328,23.251274,0.031400003,0.998157,172.86,0.11512017201728071,0.3674999059531029
PH,0.1936430124542166,0.3002113662849872,0.541002076203198,350.0,20.503809,0.0191,1.52616,317.44,0.04168753055095042,0.36739220663495753
MKTX,0.27781795443354274,0.3135603596103293,0.7864192870098359,345.8999938964844,37.679737,0.0117,0.647752,274.55,0.05760443818387034,0.36627592729325487
MTCH,0.24894392576547936,0.44601729860079625,0.4881332774630882,48.45000076293945,17.180851,0.0,1.315274,74.95,0.0,0.3652668852916702
